fecha,territorio,combustible,minimo,medio,maximo,estaciones
2026-05-01,Navarra,g95,1.319,1.511,1.7,218
2026-05-01,Navarra,diesel,1.539,1.705,1.879,241
2026-05-01,Navarra,dieselPlus,1.589,1.81,1.969,98
2026-05-01,Navarra,g98,1.469,1.699,1.809,61
2026-05-01,Bizkaia,g95,1.359,1.547,1.689,124
2026-05-01,Bizkaia,g98,1.522,1.718,1.799,68
2026-05-01,Bizkaia,diesel,1.529,1.746,1.859,126
2026-05-01,Bizkaia,dieselPlus,1.589,1.786,1.959,45
2026-05-02,Araba,g95,1.399,1.551,1.669,68
2026-05-02,Araba,diesel,1.585,1.758,1.869,72
2026-05-02,Araba,dieselPlus,1.609,1.826,2,36
2026-05-02,Araba,g98,1.539,1.708,1.795,38
2026-05-02,Gipuzkoa,g95,1.299,1.543,1.699,131
2026-05-02,Gipuzkoa,g98,1.499,1.712,1.799,77
2026-05-02,Gipuzkoa,diesel,1.509,1.752,1.859,145
2026-05-02,Gipuzkoa,dieselPlus,1.597,1.831,1.939,81
2026-05-02,Navarra,g95,1.319,1.513,1.7,219
2026-05-02,Navarra,diesel,1.539,1.705,1.879,242
2026-05-02,Navarra,dieselPlus,1.589,1.81,1.969,99
2026-05-02,Navarra,g98,1.469,1.704,1.852,62
2026-05-02,Bizkaia,g95,1.359,1.549,1.689,124
2026-05-02,Bizkaia,g98,1.522,1.722,1.805,68
2026-05-02,Bizkaia,diesel,1.529,1.745,1.859,126
2026-05-02,Bizkaia,dieselPlus,1.589,1.788,1.959,45
2026-05-03,Araba,g95,1.399,1.551,1.669,68
2026-05-03,Araba,diesel,1.585,1.758,1.869,72
2026-05-03,Araba,dieselPlus,1.609,1.827,2,36
2026-05-03,Araba,g98,1.539,1.709,1.789,38
2026-05-03,Gipuzkoa,g95,1.239,1.543,1.699,131
2026-05-03,Gipuzkoa,g98,1.519,1.713,1.799,77
2026-05-03,Gipuzkoa,diesel,1.449,1.751,1.859,145
2026-05-03,Gipuzkoa,dieselPlus,1.597,1.831,1.939,81
2026-05-03,Navarra,g95,1.319,1.513,1.7,219
2026-05-03,Navarra,diesel,1.539,1.705,1.879,242
2026-05-03,Navarra,dieselPlus,1.589,1.81,1.969,99
2026-05-03,Navarra,g98,1.469,1.704,1.852,62
2026-05-03,Bizkaia,g95,1.359,1.55,1.689,124
2026-05-03,Bizkaia,g98,1.522,1.723,1.805,68
2026-05-03,Bizkaia,diesel,1.529,1.746,1.859,126
2026-05-03,Bizkaia,dieselPlus,1.589,1.789,1.959,45
2026-05-04,Araba,g95,1.399,1.553,1.669,68
2026-05-04,Araba,diesel,1.585,1.759,1.879,72
2026-05-04,Araba,dieselPlus,1.609,1.827,2,36
2026-05-04,Araba,g98,1.539,1.71,1.795,38
2026-05-04,Gipuzkoa,g95,1.189,1.547,1.699,130
2026-05-04,Gipuzkoa,g98,1.519,1.715,1.799,77
2026-05-04,Gipuzkoa,diesel,1.399,1.752,1.859,145
2026-05-04,Gipuzkoa,dieselPlus,1.597,1.832,1.939,81
2026-05-04,Navarra,g95,1.319,1.517,1.7,218
2026-05-04,Navarra,diesel,1.539,1.707,1.879,243
2026-05-04,Navarra,dieselPlus,1.598,1.81,1.969,99
2026-05-04,Navarra,g98,1.499,1.707,1.852,62
2026-05-04,Bizkaia,g95,1.354,1.555,1.699,124
2026-05-04,Bizkaia,g98,1.522,1.726,1.805,68
2026-05-04,Bizkaia,diesel,1.534,1.751,1.859,125
2026-05-04,Bizkaia,dieselPlus,1.629,1.796,1.989,44
2026-05-05,Araba,g95,1.419,1.557,1.669,68
2026-05-05,Araba,diesel,1.609,1.762,1.879,72
2026-05-05,Araba,dieselPlus,1.649,1.828,2,36
2026-05-05,Araba,g98,1.539,1.71,1.795,38
2026-05-05,Gipuzkoa,g95,1.319,1.552,1.699,131
2026-05-05,Gipuzkoa,g98,1.519,1.717,1.799,77
2026-05-05,Gipuzkoa,diesel,1.499,1.756,1.859,145
2026-05-05,Gipuzkoa,dieselPlus,1.679,1.837,1.939,81
2026-05-05,Navarra,g95,1.329,1.519,1.7,219
2026-05-05,Navarra,diesel,1.556,1.708,1.879,243
2026-05-05,Navarra,dieselPlus,1.599,1.812,1.969,99
2026-05-05,Navarra,g98,1.499,1.71,1.852,62
2026-05-05,Bizkaia,g95,1.354,1.559,1.699,124
2026-05-05,Bizkaia,g98,1.539,1.725,1.805,68
2026-05-05,Bizkaia,diesel,1.534,1.755,1.868,125
2026-05-05,Bizkaia,dieselPlus,1.629,1.797,1.989,45
2026-05-06,Araba,g95,1.429,1.56,1.679,68
2026-05-06,Araba,diesel,1.609,1.763,1.889,72
2026-05-06,Araba,dieselPlus,1.649,1.832,2,36
2026-05-06,Araba,g98,1.539,1.712,1.795,38
2026-05-06,Gipuzkoa,g95,1.359,1.555,1.699,131
2026-05-06,Gipuzkoa,g98,1.519,1.717,1.799,77
2026-05-06,Gipuzkoa,diesel,1.539,1.757,1.859,145
2026-05-06,Gipuzkoa,dieselPlus,1.666,1.837,1.939,81
2026-05-06,Navarra,g95,1.359,1.521,1.679,217
2026-05-06,Navarra,diesel,1.556,1.711,1.889,241
2026-05-06,Navarra,dieselPlus,1.599,1.816,1.969,98
2026-05-06,Navarra,g98,1.499,1.713,1.852,62
2026-05-06,Bizkaia,g95,1.364,1.563,1.699,124
2026-05-06,Bizkaia,g98,1.539,1.726,1.805,68
2026-05-06,Bizkaia,diesel,1.514,1.756,1.868,126
2026-05-06,Bizkaia,dieselPlus,1.649,1.803,1.989,45
2026-05-07,Araba,g95,1.429,1.565,1.679,67
2026-05-07,Araba,diesel,1.607,1.76,1.889,71
2026-05-07,Araba,dieselPlus,1.649,1.831,2,36
2026-05-07,Araba,g98,1.539,1.719,1.799,37
2026-05-07,Gipuzkoa,g95,1.359,1.556,1.699,130
2026-05-07,Gipuzkoa,g98,1.519,1.721,1.799,76
2026-05-07,Gipuzkoa,diesel,1.539,1.753,1.859,144
2026-05-07,Gipuzkoa,dieselPlus,1.636,1.833,1.919,80
2026-05-07,Navarra,g95,1.359,1.521,1.679,214
2026-05-07,Navarra,diesel,1.549,1.702,1.889,238
2026-05-07,Navarra,dieselPlus,1.599,1.809,1.969,95
2026-05-07,Navarra,g98,1.499,1.715,1.852,62
2026-05-07,Bizkaia,g95,1.349,1.569,1.699,124
2026-05-07,Bizkaia,g98,1.539,1.735,1.815,68
2026-05-07,Bizkaia,diesel,1.494,1.756,1.868,126
2026-05-07,Bizkaia,dieselPlus,1.649,1.804,1.989,45
2026-05-08,Araba,g95,1.429,1.561,1.679,67
2026-05-08,Araba,diesel,1.551,1.744,1.889,71
2026-05-08,Araba,dieselPlus,1.649,1.819,2,36
2026-05-08,Araba,g98,1.539,1.719,1.805,37
2026-05-08,Gipuzkoa,g95,1.319,1.551,1.699,127
2026-05-08,Gipuzkoa,g98,1.519,1.72,1.799,76
2026-05-08,Gipuzkoa,diesel,1.499,1.73,1.859,144
2026-05-08,Gipuzkoa,dieselPlus,1.616,1.811,1.919,80
2026-05-08,Navarra,g95,1.359,1.517,1.659,212
2026-05-08,Navarra,diesel,1.517,1.686,1.879,236
2026-05-08,Navarra,dieselPlus,1.589,1.791,1.969,95
2026-05-08,Navarra,g98,1.499,1.712,1.852,62
2026-05-08,Bizkaia,g95,1.334,1.566,1.699,122
2026-05-08,Bizkaia,g98,1.539,1.734,1.809,68
2026-05-08,Bizkaia,diesel,1.479,1.73,1.868,126
2026-05-08,Bizkaia,dieselPlus,1.599,1.79,1.989,45
2026-05-09,Araba,g95,1.429,1.561,1.679,67
2026-05-09,Araba,diesel,1.551,1.735,1.889,71
2026-05-09,Araba,dieselPlus,1.649,1.808,2,36
2026-05-09,Araba,g98,1.539,1.715,1.815,37
2026-05-09,Gipuzkoa,g95,1.279,1.548,1.699,127
2026-05-09,Gipuzkoa,g98,1.519,1.716,1.799,76
2026-05-09,Gipuzkoa,diesel,1.459,1.714,1.859,144
2026-05-09,Gipuzkoa,dieselPlus,1.616,1.794,1.919,80
2026-05-09,Navarra,g95,1.359,1.515,1.659,211
2026-05-09,Navarra,diesel,1.499,1.676,1.879,235
2026-05-09,Navarra,dieselPlus,1.57,1.776,1.969,95
2026-05-09,Navarra,g98,1.499,1.705,1.852,62
2026-05-09,Bizkaia,g95,1.319,1.565,1.699,122
2026-05-09,Bizkaia,g98,1.539,1.731,1.805,68
2026-05-09,Bizkaia,diesel,1.459,1.718,1.868,126
2026-05-09,Bizkaia,dieselPlus,1.599,1.783,1.989,45
2026-05-10,Araba,g95,1.429,1.561,1.679,67
2026-05-10,Araba,diesel,1.551,1.733,1.889,71
2026-05-10,Araba,dieselPlus,1.649,1.805,2,36
2026-05-10,Araba,g98,1.539,1.715,1.815,37
2026-05-10,Gipuzkoa,g95,1.219,1.544,1.699,130
2026-05-10,Gipuzkoa,g98,1.519,1.716,1.799,76
2026-05-10,Gipuzkoa,diesel,1.399,1.713,1.859,144
2026-05-10,Gipuzkoa,dieselPlus,1.616,1.794,1.919,80
2026-05-10,Navarra,g95,1.359,1.515,1.659,212
2026-05-10,Navarra,diesel,1.499,1.675,1.879,236
2026-05-10,Navarra,dieselPlus,1.57,1.774,1.969,95
2026-05-10,Navarra,g98,1.499,1.705,1.852,62
